"Ecosystem Name","Country","Ecosystem Functional Group","Threat","Threat Bounds","Trigger","Area","Assessment System","Source","Reference"
"1.A.3.Ej.612 - Bolivian-Tucuman Montane & Upper Montane Humid Forest","Argentina","T1.3","NT","LC -- NT","A3",16752.0069,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.612 - Bolivian-Tucuman Montane & Upper Montane Humid Forest","Bolivia","T1.3","NT","LC -- NT","A3",16752.0069,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.612 - Bolivian-Tucuman Montane & Upper Montane Humid Forest","Peru","T1.3","NT","LC -- NT","A3",16752.0069,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.613 - Bolivian-Tucuman Lower Montane Humid Forest","Argentina","T1.3","NT","NT -- VU","A2b",14543.1288,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.613 - Bolivian-Tucuman Lower Montane Humid Forest","Bolivia","T1.3","NT","NT -- VU","A2b",14543.1288,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.613 - Bolivian-Tucuman Lower Montane Humid Forest","Peru","T1.3","NT","NT -- VU","A2b",14543.1288,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.614 - Moist Puna Humid Forest","Peru","T1.3","NE",NA,NA,23330.5029,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.614 - Moist Puna Humid Forest","Bolivia","T1.3","NE",NA,NA,23330.5029,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.614 - Moist Puna Humid Forest","Argentina","T1.3","NE",NA,NA,23330.5029,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.614 - Moist Puna Humid Forest","Chile","T1.3","NE",NA,NA,23330.5029,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.615 - Eastern Subandean Ridge Montane Humid Forest","Peru","T1.3","VU","VU -- EN","A1, A3, D1, D3",11944.3977,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
